type,id,name,rarity,bucket,unlock_battle,rationale
consumable,patch_kit,Patch Kit,common,0,0,flat heal - simplest item in the game
consumable,triage_broadcast,Triage Broadcast,common,0,0,flat AoE heal
consumable,scrap_plate,Scrap Plate,common,0,0,flat shield
consumable,buckler_array,Buckler Array,common,0,0,flat AoE shield
consumable,calibration_chip,Calibration Chip,common,0,0,smallest roll buff
consumable,grounding_clip,Grounding Clip,common,0,0,smallest enemy roll debuff
consumable,shock_charge,Shock Charge,common,0,0,flat damage
consumable,acid_vial,Acid Vial,common,0,0,plain burn - burn has a primer
consumable,phase_scrambler,Phase Scrambler,common,0,0,reroll one enemy die - one sentence
consumable,protocol_cell,Protocol Cell,common,0,0,flat protocol gain
consumable,momentum_core,Momentum Core,uncommon,0,0,roll-buff family tier 2 - same shape as calibration_chip; also feeds uncommon+ intercept drafts (abandonedArmory)
consumable,capacitor_dose,Capacitor Dose,uncommon,0,0,protocol family tier 2; feeds uncommon+ intercept drafts and uncommon consumable event grants
consumable,harmonic_injector,Harmonic Injector,rare,0,0,roll-buff family tier 3 - big number of a bucket-0 shape; covers the rare-consumable event grants (memorialProtocol / ghostFrequency)
consumable,core_surge,Core Surge,rare,0,0,protocol family tier 3; second rare so the rare-consumable grant is not deterministic
consumable,defib_spark,Defib Spark,uncommon,1,3,revive - simple concept but a new verb
consumable,corrosion_bomb,Corrosion Bomb,uncommon,1,3,enemy-debuff family tier 2
consumable,ghost_veil,Ghost Veil,uncommon,2,6,cloak - needs the cloak rules understood
consumable,cascade_jammer,Cascade Jammer,rare,4,12,reroll EVERY enemy die - board-wide die manipulation
consumable,entropy_seed,Entropy Seed,rare,5,16,enemy-debuff family tier 3
consumable,mainline_cache,Mainline Cache,legendary,6,22,protocol family tier 4
consumable,cryo_gel,Cryo Gel,uncommon,7,29,freeze ANY die - freezing your own ally on purpose is the weird half
consumable,scatter_veil_array,Scatter Veil Array,rare,8,37,AoE cloak - whole-squad stealth turns
consumable,archive_cascade,Archive Cascade,legendary,9,45,roll-buff family tier 4
consumable,cryo_web,Cryo Web,rare,11,63,two-repeat freeze - repeat math on top of freeze
consumable,deep_zero_pin,Deep Zero Pin,uncommon,17,138,pin every enemy die to weakest face + freeze - the weirdest item in the pool
gear,neural_splice,Neural Splice,uncommon,0,0,flat roll bonus
gear,combat_plating,Combat Plating,uncommon,0,0,battle-start shield
gear,stim_injector,Stim Injector,uncommon,0,0,flat max HP
gear,kill_switch,Kill Switch,uncommon,0,0,heal on kill - one trigger
gear,protocol_tap,Protocol Tap,uncommon,0,0,battle-start protocol
gear,counterweight,Counterweight,uncommon,0,0,flat damage reduction
gear,spike_driver,Spike Driver,uncommon,0,0,first-ability bonus - one condition
gear,bounty_chip,Bounty Chip,uncommon,0,0,protocol on basic kill
gear,triage_gel,Triage Gel,uncommon,0,0,heals also shield - mild composition
gear,priming_charge,Priming Charge,uncommon,0,0,first Nudge free - teaches the protocol economy
gear,breach_tip,Breach Tip,rare,0,0,ignore 5 shield - simple; with siphon_loop covers the rare+ gear intercept drafts (salvageCache / blackMarketNode need 3 rare+ options with warframe_core / predator_lens)
gear,siphon_loop,Siphon Loop,rare,0,0,20% leech - leech has a primer; rare+ intercept coverage
gear,warframe_core,Warframe Core,legendary,0,0,max-HP family tier 3 - pure stat; with predator_lens covers the deepCache legendary draft (needs 2 legendary options)
gear,predator_lens,Predator Lens,legendary,0,0,roll-bonus family tier 2 - pure stat; deepCache legendary coverage
