id,type,lift_pp,arm_clear,ctrl_clear,n
overcharge,relic,26.6,0.508,0.242,500
ironCurtain,relic,25.0,0.492,0.242,500
openingGambit,relic,18.0,0.422,0.242,500
overloadLoop,relic,15.8,0.4,0.242,500
curatedCache,relic,-11.8,0.124,0.242,500
martyrdomProtocol,relic,-9.2,0.15,0.242,500
overflowBuffer,relic,-9.2,0.15,0.242,500
overflowVent,relic,-9.2,0.15,0.242,500
twinFates,relic,-9.2,0.15,0.242,500
mercyProtocol,relic,-9.0,0.152,0.242,500
salvageDirective,relic,-9.0,0.152,0.242,500
chainDoctrine,relic,-8.6,0.156,0.242,500
scavengerManifest,relic,-7.8,0.164,0.242,500
resonanceCascade,relic,-7.6,0.166,0.242,500
overkill_matrix,gear,7.4,0.316,0.242,500
protocolOverride,relic,-7.4,0.168,0.242,500
coordinatedStrike,relic,7.0,0.312,0.242,500
standingOrder,relic,-7.0,0.172,0.242,500
emergencySignal,relic,-6.8,0.174,0.242,500
naniteField,relic,6.8,0.31,0.242,500
predator_lens,gear,6.8,0.31,0.242,500
deadMansHand,relic,6.4,0.306,0.242,500
fieldCache,relic,-6.4,0.178,0.242,500
gravityWell,relic,6.2,0.304,0.242,500
anchor_frame,gear,6.0,0.302,0.242,500
echo_matrix,gear,6.0,0.302,0.242,500
entropyLeak,relic,5.6,0.298,0.242,500
mainline_bus,gear,5.6,0.298,0.242,500
neural_splice,gear,5.6,0.298,0.242,500
signalJam,relic,5.6,0.298,0.242,500
warframe_core,gear,5.6,0.298,0.242,500
chainReaction,relic,-5.0,0.192,0.242,500
bulwarkAura,relic,4.4,0.286,0.242,500
targeting_optic,gear,4.2,0.284,0.242,500
aegisField,relic,-4.0,0.202,0.242,500
coldLogic,relic,-3.8,0.204,0.242,500
hemophage_nexus,gear,3.0,0.272,0.242,500
plagueProtocol,relic,2.8,0.27,0.242,500
staticField,relic,-2.6,0.216,0.242,500
killswitch_relay,gear,2.4,0.266,0.242,500
breach_tip,gear,2.0,0.262,0.242,500
core_surge,consumable,2.0,0.262,0.242,500
mainline_cache,consumable,1.8,0.26,0.242,500
phase_weave,gear,1.8,0.26,0.242,500
band_compressor,gear,-1.6,0.226,0.242,500
capacitor_dose,consumable,1.6,0.258,0.242,500
dead_mans_chip,gear,1.4,0.256,0.242,500
priming_charge,gear,-1.4,0.228,0.242,500
reverse_gimbal,gear,-1.4,0.228,0.242,500
mirror_plate,gear,-1.2,0.23,0.242,500
cryo_web,consumable,1.0,0.252,0.242,500
entropy_seed,consumable,1.0,0.252,0.242,500
stim_injector,gear,1.0,0.252,0.242,500
triage_gel,gear,-1.0,0.232,0.242,500
wide_aperture,gear,1.0,0.252,0.242,500
corrosion_bomb,consumable,0.8,0.25,0.242,500
deep_zero_pin,consumable,0.8,0.25,0.242,500
harmonic_injector,consumable,0.8,0.25,0.242,500
ignition_coil,gear,0.8,0.25,0.242,500
shock_charge,consumable,0.8,0.25,0.242,500
bounty_chip,gear,-0.6,0.236,0.242,500
cascade_jammer,consumable,0.6,0.248,0.242,500
cryo_gel,consumable,0.6,0.248,0.242,500
patch_kit,consumable,0.6,0.248,0.242,500
payload_fuse,gear,0.6,0.248,0.242,500
protocol_cell,consumable,0.6,0.248,0.242,500
protocol_tap,gear,-0.6,0.236,0.242,500
scatter_veil_array,consumable,0.6,0.248,0.242,500
sync_antenna,gear,-0.6,0.236,0.242,500
archive_cascade,consumable,0.4,0.246,0.242,500
buckler_array,consumable,-0.4,0.238,0.242,500
combat_plating,gear,-0.4,0.238,0.242,500
grounding_clip,consumable,0.4,0.246,0.242,500
scrap_plate,consumable,0.4,0.246,0.242,500
spike_driver,gear,0.4,0.246,0.242,500
acid_vial,consumable,0.2,0.244,0.242,500
counterweight,gear,0.2,0.244,0.242,500
kill_switch,gear,0.2,0.244,0.242,500
overload_capacitor,gear,-0.2,0.24,0.242,500
siphon_loop,gear,0.2,0.244,0.242,500
calibration_chip,consumable,0.0,0.242,0.242,500
defib_spark,consumable,0.0,0.242,0.242,500
ghost_veil,consumable,0.0,0.242,0.242,500
momentum_core,consumable,0.0,0.242,0.242,500
phase_scrambler,consumable,0.0,0.242,0.242,500
triage_broadcast,consumable,0.0,0.242,0.242,500
