id,type,rarity,mean_lift,facility,hive,veil,voidCirclet,stellarMenagerie,n_with
ironCurtain,relic,-,35.4,33.4,28.5,53.3,37.2,24.8,1179
overcharge,relic,-,32.3,31.7,40.6,36.0,30.8,22.4,1389
openingGambit,relic,-,24.2,13.3,23.4,38.5,33.3,12.6,1229
overloadLoop,relic,-,21.0,15.2,26.3,27.7,15.2,20.7,1259
naniteField,relic,-,12.7,17.8,9.1,19.0,20.7,-3.1,1091
gravityWell,relic,-,12.5,17.9,19.3,13.4,11.4,0.3,1141
entropyLeak,relic,-,12.5,14.8,12.0,22.9,15.2,-2.5,1122
coordinatedStrike,relic,-,12.1,14.6,15.3,14.6,9.2,7.0,1246
predator_lens,gear,legendary,12.0,13.3,10.9,19.4,9.5,6.9,6782
anchor_frame,gear,rare,11.4,12.9,11.1,18.3,12.6,2.3,6819
bulwarkAura,relic,-,11.3,12.8,8.8,17.4,17.2,0.5,1239
plagueProtocol,relic,-,11.2,17.9,9.6,18.7,6.1,4.0,1297
deadMansHand,relic,-,10.8,8.0,1.5,21.5,15.5,7.5,1223
overkill_matrix,gear,legendary,10.8,12.0,12.6,15.3,10.0,4.1,6709
killswitch_relay,gear,legendary,10.2,14.0,9.4,18.7,6.0,3.0,6894
echo_matrix,gear,rare,9.9,11.6,11.8,15.1,8.6,2.6,6870
warframe_core,gear,legendary,9.6,10.8,8.3,14.2,12.3,2.5,6588
mainline_bus,gear,legendary,9.6,10.3,8.9,16.3,9.7,2.8,6986
hemophage_nexus,gear,legendary,9.2,13.8,9.8,13.9,8.0,0.7,6914
signalJam,relic,-,9.1,7.2,5.8,30.3,4.1,-1.8,1455
dead_mans_chip,gear,rare,7.9,8.2,8.0,14.6,6.0,2.9,6755
breach_tip,gear,rare,6.9,10.8,5.0,12.7,2.3,3.9,6667
overflowBuffer,relic,-,-6.9,-6.6,-11.5,0.2,-10.7,-5.8,1347
scavengerManifest,relic,-,-6.8,-5.9,-9.6,-0.9,-12.5,-5.1,1262
mainline_cache,consumable,legendary,6.7,8.0,6.0,11.9,1.2,6.4,6986
curatedCache,relic,-,-6.7,-4.2,-13.0,-0.7,-13.7,-1.6,1217
band_compressor,gear,legendary,6.3,8.9,3.9,16.2,1.3,1.5,6949
siphon_loop,gear,rare,6.0,8.1,4.7,12.0,4.0,1.2,6908
neural_splice,gear,uncommon,5.6,8.2,6.5,8.8,1.8,2.9,4592
mercyProtocol,relic,-,-5.5,-4.6,-3.5,-5.7,-5.7,-8.0,1392
martyrdomProtocol,relic,-,-5.2,-2.5,-13.1,0.6,-7.6,-3.3,1219
targeting_optic,gear,uncommon,4.9,3.2,3.4,8.8,8.5,0.6,4654
archive_cascade,consumable,legendary,4.8,5.1,2.4,12.0,3.4,1.3,6702
mirror_plate,gear,rare,4.6,4.6,0.1,7.8,7.0,3.3,6602
counterweight,gear,uncommon,4.4,6.4,7.3,1.9,4.0,2.2,4801
twinFates,relic,-,-4.3,-2.1,-8.8,0.2,-7.9,-3.1,1228
overflowVent,relic,-,-4.3,-0.3,-4.1,-1.6,-11.4,-3.9,1340
harmonic_injector,consumable,rare,4.2,5.4,5.5,10.2,0.9,-1.0,6463
sync_antenna,gear,legendary,4.1,4.7,4.0,10.9,2.2,-1.4,6725
wide_aperture,gear,rare,3.9,5.2,1.9,11.5,2.2,-1.0,7069
stim_injector,gear,uncommon,3.8,4.4,1.2,6.3,6.1,0.9,4307
core_surge,consumable,rare,3.7,4.4,5.6,6.7,2.0,-0.4,6968
ignition_coil,gear,rare,3.6,4.3,4.5,9.3,-2.0,2.1,6555
protocolOverride,relic,-,-3.6,-8.4,-1.5,6.4,-10.3,-4.0,1356
protocol_tap,gear,uncommon,3.4,2.9,4.2,4.7,4.3,0.7,4582
grounding_clip,consumable,common,-3.3,-1.0,-6.4,-1.1,-6.8,-1.0,4897
payload_fuse,gear,rare,3.3,1.7,1.1,9.2,2.0,2.2,7025
coldLogic,relic,-,3.2,10.7,4.6,6.4,-3.8,-1.7,1182
overload_capacitor,gear,rare,3.1,4.6,2.2,10.6,-2.3,0.2,6822
scatter_veil_array,consumable,rare,2.9,2.4,3.5,7.9,1.5,-0.7,6688
spike_driver,gear,uncommon,2.9,3.2,3.4,3.1,4.2,0.6,4759
capacitor_dose,consumable,uncommon,2.9,3.6,2.2,5.8,3.2,-0.2,4700
entropy_seed,consumable,rare,2.9,3.1,1.6,8.0,1.2,0.6,6602
cryo_web,consumable,rare,2.9,2.1,2.4,10.4,0.1,-0.5,6934
phase_weave,gear,uncommon,2.5,7.1,1.2,4.9,0.8,-1.4,4669
bounty_chip,gear,uncommon,2.4,2.2,4.0,6.7,0.0,-0.7,4641
emergencySignal,relic,-,-2.4,-1.8,-3.2,3.8,-7.4,-3.3,1507
chainReaction,relic,-,2.3,20.6,0.2,2.9,-6.1,-5.9,1267
defib_spark,consumable,uncommon,2.3,3.4,1.9,6.7,2.3,-2.8,4564
staticField,relic,-,2.3,8.2,-3.4,7.5,2.2,-3.0,1333
momentum_core,consumable,uncommon,2.3,-1.0,3.0,7.5,3.7,-1.8,4880
cascade_jammer,consumable,rare,2.2,2.1,-1.7,8.8,1.0,0.7,6525
chainDoctrine,relic,-,-2.1,3.2,-5.4,4.3,-6.8,-5.5,1244
cryo_gel,consumable,uncommon,2.0,2.1,2.9,4.1,-0.2,1.0,4406
kill_switch,gear,uncommon,1.8,-0.3,-1.9,6.3,2.9,2.0,4649
combat_plating,gear,uncommon,1.8,4.0,-4.4,2.8,3.9,2.6,4638
standingOrder,relic,-,-1.8,-1.4,1.5,3.2,-7.4,-4.8,1220
corrosion_bomb,consumable,uncommon,1.6,1.6,0.5,5.5,1.1,-0.6,4423
resonanceCascade,relic,-,-1.6,-10.0,3.1,4.6,-2.3,-3.4,1422
triage_gel,gear,uncommon,1.5,2.2,-0.7,4.3,0.3,1.4,4887
fieldCache,relic,-,-1.4,-5.4,-1.3,4.1,-2.8,-1.6,1234
salvageDirective,relic,-,-1.3,-3.9,-1.7,7.2,-3.6,-4.6,1185
shock_charge,consumable,common,-1.2,-2.0,-1.8,-0.1,-2.4,0.2,5284
deep_zero_pin,consumable,rare,1.0,-0.4,0.3,6.2,1.1,-2.2,6980
reverse_gimbal,gear,uncommon,1.0,-2.6,-1.3,8.2,3.0,-2.5,4657
phase_scrambler,consumable,common,-0.9,-0.3,-2.3,-3.8,-0.2,1.9,5229
ghost_veil,consumable,uncommon,0.7,3.1,-1.7,1.2,-2.4,3.0,4523
protocol_cell,consumable,common,0.6,3.8,0.8,0.1,-2.1,0.5,4995
buckler_array,consumable,common,0.5,3.3,0.3,-0.7,-0.8,0.4,5043
acid_vial,consumable,common,0.3,1.8,-1.4,-0.6,0.7,1.2,5139
triage_broadcast,consumable,common,-0.3,-0.6,-0.4,1.1,-2.7,1.1,5265
scrap_plate,consumable,common,-0.2,-1.7,-1.8,1.9,1.0,-0.6,5492
aegisField,relic,-,-0.2,1.0,-3.6,5.0,-2.5,-1.1,1148
patch_kit,consumable,common,0.2,1.3,1.0,1.2,-1.7,-0.8,4959
priming_charge,gear,uncommon,0.1,-3.3,-0.6,6.2,-0.5,-1.2,4870
calibration_chip,consumable,common,0.1,-2.4,2.7,1.5,-0.6,-0.8,5162
