owner,function,line,evidence
scripts/autoloads/MusicManager.gd,_apply_combat_state,191,source inventory; see bible for rendered coverage
scripts/autoloads/MusicManager.gd,duck_for_stinger,208,source inventory; see bible for rendered coverage
scripts/autoloads/MusicManager.gd,_crossfade_to,260,source inventory; see bible for rendered coverage
scripts/autoloads/TransitionManager.gd,change_scene,49,source inventory; see bible for rendered coverage
scripts/battle/battle_feedback.gd,play_round_feedback,210,source inventory; see bible for rendered coverage
scripts/battle/battle_feedback.gd,apply_live_event_visual_state,239,source inventory; see bible for rendered coverage
scripts/battle/battle_feedback.gd,_play_action_feedback_group,280,source inventory; see bible for rendered coverage
scripts/battle/battle_feedback.gd,_flash_card,500,source inventory; see bible for rendered coverage
scripts/battle/battle_feedback.gd,_spawn_float_label,582,source inventory; see bible for rendered coverage
scripts/battle/battle_feedback.gd,_build_floating_text,669,source inventory; see bible for rendered coverage
scripts/battle/battle_feedback.gd,_celebrate_overload,765,source inventory; see bible for rendered coverage
scripts/battle/battle_feedback.gd,_play_keyword_feedback,794,source inventory; see bible for rendered coverage
scripts/battle/battle_feedback.gd,_chip_flash_then_burst,833,source inventory; see bible for rendered coverage
scripts/battle/battle_feedback.gd,_hex_flash,862,source inventory; see bible for rendered coverage
scripts/battle/battle_feedback.gd,_burst_particles,891,source inventory; see bible for rendered coverage
scripts/battle/battle_feedback.gd,_death_scatter,924,source inventory; see bible for rendered coverage
scripts/battle/battle_feedback.gd,_shield_shatter,970,source inventory; see bible for rendered coverage
scripts/battle/battle_feedback.gd,_drift_pip,1023,source inventory; see bible for rendered coverage
scripts/battle/battle_feedback.gd,_resolve_portrait_sharp,1049,source inventory; see bible for rendered coverage
scripts/battle/battle_feedback.gd,_slam_ability_name,1060,source inventory; see bible for rendered coverage
scripts/battle/battle_feedback.gd,_lunge,1106,source inventory; see bible for rendered coverage
scripts/battle/battle_feedback.gd,_shake,1124,source inventory; see bible for rendered coverage
scripts/battle/battle_scene.gd,_pulse_tutorial_redirect,627,source inventory; see bible for rendered coverage
scripts/battle/battle_scene.gd,_resolve_current_turn,1702,source inventory; see bible for rendered coverage
scripts/battle/combat_manager.gd,_tick_state,2851,source inventory; see bible for rendered coverage
scripts/battle/dice_tray_3d.gd,warm_up_web_pipelines,140,source inventory; see bible for rendered coverage
scripts/battle/dice_tray_3d.gd,_set_die_result_scale,293,source inventory; see bible for rendered coverage
scripts/battle/dice_tray_3d.gd,set_die_frozen_visual,437,source inventory; see bible for rendered coverage
scripts/battle/dice_tray_3d.gd,set_die_status,446,source inventory; see bible for rendered coverage
scripts/battle/dice_tray_3d.gd,_finish_roll,601,source inventory; see bible for rendered coverage
scripts/battle/dice_tray_3d.gd,_start_result_face_present,656,source inventory; see bible for rendered coverage
scripts/battle/dice_tray_3d.gd,_prepare_frozen_die,1423,source inventory; see bible for rendered coverage
scripts/battle/dice_tray_3d.gd,_set_die_frozen_visual,1954,source inventory; see bible for rendered coverage
scripts/battle/dice_tray_3d.gd,play_jam_flicker,2013,source inventory; see bible for rendered coverage
scripts/battle/dice_tray_3d.gd,play_rewrite_scramble,2035,source inventory; see bible for rendered coverage
scripts/battle/protocol_actions.gd,_add_confirm_card_highlight,1076,source inventory; see bible for rendered coverage
scripts/ui/ability_readout.gd,show_pips,148,source inventory; see bible for rendered coverage
scripts/ui/compact_unit_card.gd,_set_hp_display,511,source inventory; see bible for rendered coverage
scripts/ui/loadout_menu.gd,_flash_row_rejected,512,source inventory; see bible for rendered coverage
scripts/ui/main_menu.gd,_ready,39,source inventory; see bible for rendered coverage
scripts/ui/spotlight_layer.gd,_ready,120,source inventory; see bible for rendered coverage
scripts/ui/title_logo.gd,boot_in,65,source inventory; see bible for rendered coverage
scripts/ui/title_logo.gd,_play_ignite,75,source inventory; see bible for rendered coverage
scripts/ui/title_logo.gd,flare_out,99,source inventory; see bible for rendered coverage
scripts/ui/title_logo.gd,_start_core_pulse,117,source inventory; see bible for rendered coverage
scripts/ui/title_logo.gd,_start_proto_pulse,129,source inventory; see bible for rendered coverage
scripts/ui/title_logo.gd,_schedule_glitch,144,source inventory; see bible for rendered coverage
scripts/ui/title_logo.gd,_fire_glitch,152,source inventory; see bible for rendered coverage
