path,group,width,height,nonopaque_percent,alpha_bbox,bytes,sha256,reference_evidence,owners
assets/fonts/m5x7.ttf,chrome,0,0,,,34300,47c3f0b01f0fd417b3a44c2888a71d3072f750e76f3e6e946a6a9b188d988cbf,literal reference,scripts/ui/pixel_ui.gd
assets/icons/items/acid_vial.png,items,128,128,82.4,"(40, 5, 88, 123)",15042,a8122ca3e62fcdf4a435bd36708ec19a7fceb9314d8a9a53d0ec61563b6a7873,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/aegis_foil.png,items,32,32,,,1300,57744525a3b8fbcb028219e97b3301a6311c79185a52d8c5e2ab387dc97c14be,unverified / source variant,
assets/icons/items/aegis_saturation.png,items,32,32,,,1269,9ad03b0a33c2dee115e576a6441fa24307181aa76db96810af3f42398a79ab1f,unverified / source variant,
assets/icons/items/aegisField.png,items,128,128,65.9,"(5, 22, 123, 106)",22814,12a745b539e5038bced4822e53180a5038caa859bde7acba2a07aab05f37e7c7,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/anchor_frame.png,items,128,128,96.4,"(29, 5, 100, 123)",12627,d5b033cccfde8797efceba3928018cd1c19c80f4230b0587e822a190d308e25b,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/arc_capacitor.png,items,32,32,,,1310,1b36ec94551d73d615f08b4e38a93d5646d9e6554daa7042ce633a9a59e43944,unverified / source variant,
assets/icons/items/archive_cascade.png,items,128,128,88.7,"(7, 18, 123, 108)",14607,15d221bfd136e98962897d30a96be125c9230432c94adfc1ddaa12d500385ed3,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/band_compressor.png,items,128,128,79.0,"(9, 5, 119, 123)",28680,1056465b70aae8d95f74ad837b91126f7e3ffc075c957962a5d117500aa39f8c,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/biofoam.png,items,32,32,,,1382,d969cc587ab21e32c151ef247de7d1d549214486078cb58d47c2134786cbac23,unverified / source variant,
assets/icons/items/bounty_chip.png,items,128,128,82.8,"(5, 17, 123, 110)",21544,eadc34ba60248cd2ba9769b578e536a80b11b1240682f89c1d20a0e201fbc86e,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/breach_tip.png,items,128,128,86.0,"(5, 15, 123, 113)",22511,105237a2e980c1ef44479e9cf0eac34e5542bfe9ea10d3d8d0e55cf6000a65f7,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/buckler_array.png,items,128,128,83.2,"(5, 11, 123, 118)",15379,5247df6e3632da60865a9b34d1bd0a471cc148e98179245754ccbae4d3df5d1c,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/bulwarkAura.png,items,128,128,91.4,"(34, 5, 94, 121)",14340,b30934982f2f636c676c2f0b4e04032ff292982525061ff3b0f20316909ded25,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/calibration_chip.png,items,128,128,78.8,"(5, 15, 123, 112)",22734,07bb31fde2e99b4edb823d4732d15bee6a155014db1485daf587d034f872d851,literal reference,scripts/autoloads/DataManager.gd
assets/icons/items/capacitor_dose.png,items,128,128,97.2,"(29, 5, 99, 123)",6663,ff8dbf61a9a68b46f25b0774fe6c7619d16396d7a142e8e816bcb8071bc76b9d,literal reference,scripts/autoloads/DataManager.gd
